	id	title	visitcount	reviewcount
281	0	블루보틀 성수 카페	16634.0	4448.0
0	1	소문난성수감자탕	8835.0	4270.0
297	2	밀도 성수점	6071.0	2268.0
316	3	옹근달	4945.0	2911.0
213	4	제스티살룬 성수	4723.0	1985.0
279	5	카페 할아버지공장	4448.0	1654.0
282	6	서울앵무새	4182.0	3034.0
312	7	노티드 성수	4121.0	2987.0
296	8	어니언 성수	3536.0	807.0
4	9	성수족발	3404.0	1233.0
147	10	호호식당 성수	3347.0	1499.0
1	11	난포	3286.0	2228.0
307	12	마를리	3138.0	1232.0
498	13	마를리	3138.0	1233.0
356	14	스웨덴피크닉 서울숲	2987.0	2972.0
217	15	성수다락	2970.0	1390.0
286	16	멜로워 성수 더 플래그쉽	2782.0	1452.0
49	17	비사벌 전주 콩나물 국밥	2721.0	1290.0
342	18	노티드 성수피치스	2498.0	1615.0
327	19	LOWIDE	2418.0	2153.0
151	20	탐광	2346.0	1009.0
321	21	센터커피 서울숲점	2283.0	1019.0
203	22	백소정 뚝섬역점	2041.0	1824.0
337	23	에르제 성수	2002.0	1152.0
300	24	성수베이킹스튜디오	1979.0	1368.0
209	25	온량	1967.0	973.0
323	26	성수동대림창고갤러리	1879.0	1047.0
29	27	강남면옥 성수점	1782.0	746.0
8	28	쵸리상경	1777.0	1290.0
313	29	소소하게	1773.0	724.0
23	30	대성갈비	1769.0	805.0
302	31	쎈느Scene	1759.0	927.0
335	32	도렐 성수점	1758.0	605.0
336	33	하프커피 성수점	1753.0	830.0
239	34	미도인 성수	1746.0	1055.0
144	35	진작다이닝	1735.0	1271.0
292	36	텅 성수 스페이스	1705.0	1218.0
153	37	오레노카츠 성수본점	1664.0	632.0
146	38	이오로비스트로	1632.0	963.0
352	39	슈퍼말차 성수	1566.0	732.0
44	40	몽련	1540.0	514.0
149	41	카린지_린가네 스낵바	1504.0	677.0
227	42	봄의정원 성수점	1457.0	787.0
500	43	미테이블 성수점	1427.0	1049.0
235	44	미테이블 성수점	1427.0	1049.0
16	45	잠수교집 성수 직영점	1406.0	561.0
11	46	사위식당 성수점	1406.0	1050.0
207	47	누메로도스	1397.0	702.0
251	48	미아논나	1359.0	532.0
283	49	오로라베이커리카페 성수점	1337.0	1278.0
236	50	엘더버거	1331.0	620.0
248	51	오스테리아 쟌니	1317.0	747.0
22	52	할머니의 레시피	1283.0	630.0
314	53	5to7	1270.0	665.0
276	54	오뜨로 부엔 디아	1269.0	984.0
230	55	소랑호젠	1269.0	743.0
