	id	title	local	subway	distance	walk
281	0	블루보틀 성수 카페	성수동	뚝섬역	61.0	1
0	1	소문난성수감자탕	성수동	성수역	266.0	1
297	2	밀도 성수점	성수동	서울숲역	223.0	1
316	3	옹근달	성수동	성수역	376.0	2
213	4	제스티살룬 성수	성수동	뚝섬역	466.0	2
279	5	카페 할아버지공장	성수동	성수역	413.0	2
282	6	서울앵무새	성수동	뚝섬역	259.0	1
312	7	노티드 성수	성수동	성수역	340.0	2
296	8	어니언 성수	성수동	성수역	133.0	1
4	9	성수족발	성수동	성수역	169.0	1
147	10	호호식당 성수	성수동	뚝섬역	326.0	2
1	11	난포	성수동	서울숲역	431.0	2
307	12	마를리	성수동	성수역	293.0	1
498	13	마를리	성수동	성수역	293.0	1
356	14	스웨덴피크닉 서울숲	성수동	서울숲역	266.0	1
217	15	성수다락	성수동	성수역	579.0	3
286	16	멜로워 성수 더 플래그쉽	성수동	성수역	398.0	2
49	17	비사벌 전주 콩나물 국밥	성수동	서울숲역	235.0	1
342	18	노티드 성수피치스	성수동	성수역	404.0	2
327	19	LOWIDE	성수동	서울숲역	515.0	2
151	20	탐광	성수동	성수역	222.0	1
321	21	센터커피 서울숲점	성수동	서울숲역	508.0	2
203	22	백소정 뚝섬역점	성수동	뚝섬역	155.0	1
337	23	에르제 성수	성수동	성수역	174.0	1
300	24	성수베이킹스튜디오	성수동	서울숲역	282.0	1
209	25	온량	성수동	서울숲역	370.0	2
323	26	성수동대림창고갤러리	성수동	성수역	305.0	1
29	27	강남면옥 성수점	성수동	뚝섬역	225.0	1
8	28	쵸리상경	성수동	서울숲역	431.0	2
313	29	소소하게	성수동	서울숲역	605.0	3
23	30	대성갈비	성수동	뚝섬역	294.0	1
302	31	쎈느Scene	성수동	성수역	189.0	1
335	32	도렐 성수점	성수동	성수역	120.0	1
336	33	하프커피 성수점	성수동	뚝섬역	480.0	2
239	34	미도인 성수	성수동	성수역	224.0	1
144	35	진작다이닝	성수동	뚝섬역	238.0	1
292	36	텅 성수 스페이스	성수동	성수역	278.0	1
153	37	오레노카츠 성수본점	성수동	뚝섬역	309.0	1
146	38	이오로비스트로	성수동	성수역	222.0	1
352	39	슈퍼말차 성수	성수동	뚝섬역	307.0	1
44	40	몽련	성수동	뚝섬역	240.0	1
149	41	카린지_린가네 스낵바	성수동	뚝섬역	197.0	1
227	42	봄의정원 성수점	성수동	성수역	436.0	2
500	43	미테이블 성수점	성수동	뚝섬역	212.0	1
235	44	미테이블 성수점	성수동	뚝섬역	212.0	1
16	45	잠수교집 성수 직영점	성수동	성수역	220.0	1
11	46	사위식당 성수점	성수동	성수역	243.0	1
207	47	누메로도스	성수동	뚝섬역	142.0	1
251	48	미아논나	성수동	성수역	243.0	1
283	49	오로라베이커리카페 성수점	성수동	성수역	145.0	1
236	50	엘더버거	성수동	서울숲역	370.0	2
248	51	오스테리아 쟌니	성수동	성수역	717.0	3
22	52	할머니의 레시피	성수동	서울숲역	344.0	2
314	53	5to7	성수동	서울숲역	344.0	2
276	54	오뜨로 부엔 디아	성수동	서울숲역	309.0	1
230	55	소랑호젠	성수동	서울숲역	7.0	1
179	56	우동가조쿠 성수점	성수동	뚝섬역	389.0	2
254	57	다운타우너 성수 피치스	성수동	성수역	404.0	2
87	58	일일향 성수10호점	성수동	성수역	96.0	1
253	59	메이플탑	성수동	성수역	337.0	2
298	60	앤드밀 성수점	성수동	성수역	430.0	2
224	61	앤드밀 성수점	성수동	성수역	430.0	2
439	62	대림국수 성수점	성수동	성수역	246.0	1
10	63	대림국수 성수점	성수동	성수역	246.0	1
243	64	차만다 서울숲점	성수동	서울숲역	502.0	2
12	65	서울로인 서울숲점	성수동	서울숲역	241.0	1
308	66	오우드 성수1호점	성수동	성수역	641.0	3
6	67	송계옥 성수점	성수동	성수역	282.0	1
304	68	카멜커피 성수점	성수동	성수역	883.0	4
231	69	문츠 바베큐	성수동	성수역	343.0	2
39	70	고집132 성수본점	성수동	뚝섬역	212.0	1
351	71	아방베이커리 서울숲점	성수동	서울숲역	15.0	1
9	72	훼미리손칼국수보쌈	성수동	뚝섬역	255.0	1
160	73	윤경양식당	성수동	서울숲역	357.0	2
214	74	bd버거 성수	성수동	성수역	408.0	2
43	75	권식족발 성수본점	성수동	성수역	107.0	1
445	76	어메이징브루잉컴퍼니	성수동	뚝섬역	448.0	2
172	77	멘야코노하 성수	성수동	뚝섬역	198.0	1
84	78	메이탄 성수점	성수동	서울숲역	143.0	1
325	79	루프 베이커리 카페	성수동	성수역	341.0	2
232	80	파르코	성수동	서울숲역	315.0	1
499	81	파머스카페	성수동	뚝섬역	183.0	1
305	82	파머스카페	성수동	뚝섬역	183.0	1
175	83	가조쿠	성수동	성수역	363.0	2
220	84	메종 파이프그라운드	성수동	서울숲역	73.0	1
290	85	메종 파이프그라운드	성수동	서울숲역	73.0	1
180	86	호랑이 초밥	성수동	성수역	222.0	1
265	87	바스버거 성수점	성수동	뚝섬역	148.0	1
195	88	유가츠	성수동	뚝섬역	493.0	2
20	89	성수삐딱	성수동	뚝섬역	24.0	1
42	90	사람사는 고깃집 김일도 성수점	성수동	성수역	152.0	1
285	91	누데이크 성수점	성수동	성수역	434.0	2
187	92	소년식당	성수동	뚝섬역	328.0	2
36	93	정선부뚜막	성수동	뚝섬역	371.0	2
150	94	소바식당	성수동	성수역	251.0	1
310	95	구욱희씨	성수동	서울숲역	477.0	2
101	96	탕화쿵푸마라탕 성수동지점	성수동	성수역	282.0	1
303	97	코끼리베이글 성수	성수동	성수역	388.0	2
344	98	레이더	성수동	성수역	214.0	1
349	99	뺑드에코	성수동	성수역	268.0	1
311	100	카페&펍 연무장	성수동	성수역	333.0	2
218	101	타이거풀	성수동	성수역	450.0	2
7	102	꿉당 성수점	성수동	성수역	159.0	1
198	103	모모야 성수점	성수동	서울숲역	143.0	1
221	104	쿠나	성수동	성수역	243.0	1
345	105	우디집	성수동	성수역	992.0	4
5	106	화화담 성수	성수동	성수역	224.0	1
320	107	티룸	성수동	뚝섬역	299.0	1
264	108	굿갓레스토랑 성수역점	성수동	성수역	219.0	1
219	109	르프리크	성수동	성수역	243.0	1
176	110	메시	성수동	뚝섬역	103.0	1
357	111	유어네이키드치즈	성수동	뚝섬역	172.0	1
331	112	아쿠아산타 성수카페	성수동	성수역	436.0	2
339	113	무브모브	성수동	뚝섬역	237.0	1
318	114	루디먼트	성수동	성수역	246.0	1
25	115	만학	성수동	서울숲역	345.0	2
14	116	대낚식당	성수동	성수역	368.0	2
51	117	성수온실	성수동	뚝섬역	74.0	1
158	118	카츠성수	성수동	뚝섬역	331.0	2
223	119	도치피자 성수	성수동	뚝섬역	365.0	2
330	120	BELOW SEONGSOO	성수동	뚝섬역	464.0	2
288	121	퍼먼트	성수동	서울숲역	366.0	2
317	122	크림라벨 서울숲 본점	성수동	서울숲역	404.0	2
31	123	평이담백뼈칼국수 성수점	성수동	뚝섬역	302.0	1
77	124	빠오즈푸 서울숲직영점	성수동	뚝섬역	195.0	1
322	125	로우키	성수동	성수역	428.0	2
106	126	착한짜장	성수동	성수역	268.0	1
74	127	제제	성수동	뚝섬역	416.0	2
210	128	목금	성수동	서울숲역	380.0	2
41	129	명국수	성수동	성수역	597.0	3
431	130	토라식당	성수동	성수역	262.0	1
18	131	소인수서울	성수동	뚝섬역	274.0	1
186	132	토라식당	성수동	성수역	262.0	1
99	133	하오마라	성수동	성수역	134.0	1
454	134	성수맥주	성수동	성수역	333.0	2
249	135	세디치	성수동	성수역	418.0	2
177	136	스시메이 성수점	성수동	성수역	175.0	1
62	137	팔각도 성수역점	성수동	성수역	152.0	1
275	138	노모어피자 서울숲점	성수동	서울숲역	478.0	2
91	139	우웨이탕	성수동	뚝섬역	246.0	1
80	140	차이나플레인 서울숲점	성수동	서울숲역	253.0	1
299	141	베티버 성수	성수동	성수역	745.0	3
134	142	윤경	성수동	뚝섬역	101.0	1
226	143	마리오네	성수동	성수역	641.0	3
116	144	홍콩반점0410 성수역점	성수동	성수역	35.0	1
81	145	성수속향연	성수동	성수역	383.0	2
271	146	비스트로성수	성수동	서울숲역	357.0	2
