	id	title	addr	tel	info	image_place	image_food	url
281	0	블루보틀 성수 카페	서울 성동구 아차산로 7 케이티링커스	1533-6906	블루보틀 성수 카페는 주차 공간이 많이 협소합니다. 근처 공영주차장 또는 유료 주차장을 이용해 주세요. 많은 양해 부탁드립니다. 감사합니다.	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMjRfMTEx%2FMDAxNTc3MTU0ODU0NDQy.vnYcKyiK8PjjU7CJ-I1IDSQNIKuZret9cm7GnMiWtZ4g.NsK3uobq3T5f2keiGX_i0BKldewWhnTQRCnGOfXGlFEg.JPEG.naminhea%2Foutput_1966651499.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDhfMjcg%2FMDAxNjc1Nzg1NjI1MDI0.mDcLtVmdcaOzSwwF0CDUFGIkTQFdtGOV-8WNMJzgDKAg.ZUOQaY1Edr4QN-tBwHuCaHiRmIKuTQjqAnRr8F3CY-Mg.JPEG%2F362D670C-182E-4A5A-B6A2-3260F0AD630B.jpeg	https://m.place.naver.com/restaurant/1725895520/home
0	1	소문난성수감자탕	서울 성동구 연무장길 45	02-465-6580	정보 없음	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MjRfMjE2%2FMDAxNDkzMDAxMzgxOTU0.qgzCAjEyDcoPNfLSdRKtKPqhski9d9JeRLW4ExU2TMog.xBk1hJpBVgAmAz3bz6KrdAxEpI-HX_aO4PUVuWD0tqEg.JPEG.greenocean_%2F20170422_191523.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDhfMTc2%2FMDAxNjc1ODY3ODYzMjM3.iZw5VHC323fkjIR_FmcYDBUevlYB1p_vmzGQstNJeZ0g.OvW2-ity9sU1KQY8whX7gb7F7OhYsoNg33oHy-C87jEg.JPEG%2F20230208_195304.jpg	https://m.place.naver.com/restaurant/11721256/home
297	2	밀도 성수점	서울 성동구 왕십리로 96	0507-1476-5052	식빵이 맛있는 온도, 밀도 빵의 주재료이자 식사(meal)를 의미하는 '밀'에 온도, 습도의 '도'를 더한 이름입니다. 그날의 온도와 습도를 세심하게 고려하여  매일 매일 맛있는 식빵을 구워냅니다.	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA3MThfMjIw%2FMDAxNjU4MTAyMDA2Mjk5.QN35TAERMdR2LwecJUzRfyBQ57Fcg9JfQ82NIR35XIsg.bur-XxD7WkMAaQZRea6f7yFPmlb-Vs-xks4h_CV19MUg.JPEG.ji08720%2F1658102004070.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDZfMjQy%2FMDAxNjc1NjcwNjUyOTE4.Ili8tBTyoQn5nruJEwfajxqPV6vedD-N1cZ6rAzdR4Ag.eSibD7_3WCoUc64Vsye4cBIgNOdPev6OJHPA18M_JWYg.JPEG%2F0FCFC64D-01A4-48B5-972E-85EE62AF6A16.jpeg	https://m.place.naver.com/restaurant/37717085/home
316	3	옹근달	서울 성동구 성수이로7길 41-1	02-499-5012	정보 없음	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjEwMTlfMjAg%2FMDAxNjY2MTI1MjYyODYx.n6OY3xVvHrDVCgAr1fmp35tIQcuktmB03DubVH7f-0gg.WuiES3vo6AEf9JkD5hxrmCTrSegOlY6HwCwNWTaFDoAg.JPEG.babykki%2FKakaoTalk_20221019_052148997_07.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDVfMjQx%2FMDAxNjc1NTg1OTIzNDUy.siLQjTKTOh6RR67MBSyb6YSbQQFyk_mg2oUJWnIWWwYg.wEvgAt0A0YDoHFCEJYXsF2FGjI-psO4T9xCPArU9Gocg.JPEG%2FFF315AB4-5E65-4AB7-B460-B4BE694671FE.jpeg	https://m.place.naver.com/restaurant/1395030685/home
213	4	제스티살룬 성수	서울 성동구 서울숲4길 13 1층 제스티살룬	0507-1371-2622	American style burger	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA2MjVfOTEg%2FMDAxNjU2MTY0NTIxMjQ2.buhI0DFzk_9kjTQLiNu1RIvhTM1ct5JSmr8S4qOENxQg.gzbZDMEPYOicAKVsVZIy3sWdb6XbjTB_7kbWCpuvEE0g.JPEG.seoooop%2FKakaoTalk_20220625_222007217_14.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDZfMjgz%2FMDAxNjc1Njg1OTAwMjQy.XJ4hVbVy0cQBbKjq-O3Qg1VEbK88EIOsCmitIsMPMnUg.6IWYfYg6FiLjanAPWX3AHP6WnnZtR17RCsAzLw1RWTcg.JPEG%2F8021E814-95DE-4959-AD59-37A0988ACE2D.jpeg	https://m.place.naver.com/restaurant/1172915589/home
279	5	카페 할아버지공장	서울 성동구 성수이로7가길 9	0507-1317-2301	카페 할아버지공장은 성수동 복합 문화 예술 공간입니다. 연중 휴무 없이 정상 영업하고 있습니다. 주말에는 예약이 불가합니다. 평일 식사 예약은 전화로 알려주시면 감사하겠습니다. 대관 행사 시 인스타그램 계정을 통해 알려드리겠습니다.	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA3MTRfMTA0%2FMDAxNjI2MjYzOTA5NDcy.Cfz-k3RWBfhmHkrEG-SlaTGlACBYJqVMV5pRHWbrL_Yg.CCqiX9UhSLi934eaqaPZFoAtj6yWcAQtFkrqpvcHey8g.JPEG.awesomelibceo%2FIMG_8421.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDZfMTQ5%2FMDAxNjc1NjQzODA3MTQ2.LkP23u64xKNiQlCefVW4mx88p7U_2hdZcQ4KqMJp42wg.O1T01OScLif_VJwukPHBWRLhLqWuhIqoTaAkgBMA9zAg.JPEG%2F5F55D477-3C18-47DE-80D6-A1629B43DF06.jpeg	https://m.place.naver.com/restaurant/1425989301/home
282	6	서울앵무새	서울 성동구 서울숲9길 3 B1~2F	070-8846-2025	정보 없음	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTExMDJfODYg%2FMDAxNjM1ODExNDUyNjIz.kHnoVe3ymAqsQdGM7BjHyFw875-yCR1hdypQkPvUCHQg.V-HRf_EgLIJFtEQvkAK3P-kXT8XWrJab8AMU415dV4Mg.JPEG.loveandgame%2FIMG_7406.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDdfOTYg%2FMDAxNjc1Nzc0NTQ3NjYy.vKBP6_t0jeHjhMef5Va4rceaN68heyBGTyohCHFuDrUg.jbHdAQhFic2OjWkOPC1Ig9La5Xlw8yN9XX5Y9HFLDV0g.JPEG%2F20230207_112802.jpg	https://m.place.naver.com/restaurant/1240372795/home
312	7	노티드 성수	서울 성동구 연무장길 29-17 1층	070-8834-9377	고객센터 1800-6067 (운영 시간: 평일 9시 ~ 18시, 토/일요일 및 공휴일 휴무) 안녕하세요. 다양한 디저트와 품질 좋은 커피를 즐길 수 있는 프리미엄 디저트 카페, 스마일 하우스 노티드입니다. 문의사항이 있으실 경우 운영시간 내 유선으로 문의주시거나, 노티드 공식 [카카오플러스친구] 채널 하단의 온라인문의를 통해 남겨주세요.	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA2MjJfNzYg%2FMDAxNjU1ODUzMjkzOTY1.r7mC_S50PZiWYXsxD9TQ5_le_fM9RatVqsIYmY1JLCMg.ZwF2ww8YRAyAxSuNOiOQQkxFTWAucy0-J0hL3FxC0cog.JPEG.seulki0904%2FIMG_2058.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDdfMjAx%2FMDAxNjc1Nzc0NDA1Nzgx.8SkfCQt8VMMJo5oT_CriNVseZ-pjQ7WbiPxTyTdi51gg.ApQieCIaW9gy024tFXiLbVFYo4LtxvfJ3Ezz6cYf41sg.JPEG%2F6CAC7C98-15D6-4CBC-8BD1-7544866E5D13.jpeg	https://m.place.naver.com/restaurant/1706561777/home
296	8	어니언 성수	서울 성동구 아차산로9길 8 어니언	0507-1386-3238	이 공간은 1970년대에 처음 지어졌다. 그리고 50여년이 다 되어가는 시간 동안 슈퍼, 식당, 가정집, 정비소, 그리고 공장으로 변형되었다. 때마다 필요에 따라 쓸모없는 부분은 부서졌고, 더해져야 할 부분은 주먹구구식으로 증축되었다. 심미성보다는 활용성을 중심으로 변화한 공간이기에 시간과 함께 공간의 본 모습은 점점 사라져갔다.  우리는 공간을 탐색하던 중, 과거의 구조 속에서 새것이 줄 수 없는 가치를 발견했다. 바닥에 묻은 페인트 자국, 덧대어진 벽돌 하나하나가 세월을 기억하는 훌륭한 소재였다. 우리는 이 모든 흔적을 살리며 과거의 공간을 다시 재생시키는 것에 집중했다. 과거의 공간이자 동시대적인 공간으로서의 재해석이 필요했다.  ONION은 분리된 것 같으면서도 유기적으로 연결된 구조를 존중하고, 사용자의 기능을 고려해 신중하게 추가된 소재들로 만들어졌다. 가구 또한 공간의 일부가 될 수 있도록 건축적인 요소를 더해 제작되었다. 함께 공존하는 식물들도 이곳에 늘 있었던 것처럼 익숙한 모습으로 자리해 있다.  이 공간은 마음을 정화시키는 휴식과 서비스가 존재하는 곳이 될 것이며, 공간을 찾는 이들의 머릿속 소음을 잠재워 줄 안식처가 될 것이다. 우리는 이 장소가 누군가에게는 새로운 삶의 영감을, 누군가에게는 온전한 휴식을 선사하는 곳으로 기억되길 바란다.	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzAyMThfMTky%2FMDAxNDg3Mzg3NzkzNjQy.krsQ6cu40XKVcnxz-ryDGvoLLecRJsz3stKXa67EhXgg.jn0U9eanEwvP6BKrC5frVTF8MNH1WDIHMwbivkmAlBUg.JPEG.happyzeno%2F%25BC%25BA%25BC%25F6%25B5%25BF%25BE%25EE%25B4%25CF%25BE%25F0%25C4%25AB%25C6%25E4_%252816%2529.jpg	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDdfMjI0%2FMDAxNjc1NzQ3MzM4ODg0.MDrv_doChJ4TUO2KVTuIjSCeoNmNcf3gg2DTs6GCHRwg.5cbyZi1bQHvaN01mwAACBKgVqK7KelaEY_FtHeFZa6sg.JPEG%2F20230207_085710.jpg	https://m.place.naver.com/restaurant/38561949/home
4	9	성수족발	서울 성동구 아차산로7길 7 동진빌딩 1층 성수족발	02-464-0425	서울 3대 족발	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTAxMzBfMTEw%2FMDAxNTQ4ODUyODIwNDg1.Al6pZatzyLuM3GUOMcwJs7wrO5aYBzbqpVg751LDhtMg.E9qE5cjtnKrk2rzT0wgYzrXdXhqbxItMwm-EMc6B0nAg.JPEG.yoni_mode%2F2019_01_30_19_10_IMG_4547.JPG	https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAyMDRfMTg3%2FMDAxNjc1NTAxOTY0OTIy.Q8FIEUbl50dXMHTItzKFhDH6LuUn8MOhP-JbjD9EHq8g.ybU5rihO41NsYoa-I7XMis3k0394telIuGWe8ycroDAg.JPEG%2F1675501869938.jpg	https://m.place.naver.com/restaurant/19862383/home
