	id	title	kind_big	kind_small	kind_detail
281	0	블루보틀 성수 카페	카페	카페	블루보틀
0	1	소문난성수감자탕	맛집	한식	감자탕
297	2	밀도 성수점	카페	카페	밀도
316	3	옹근달	카페	카페	카페,디저트
213	4	제스티살룬 성수	맛집	양식	햄버거
279	5	카페 할아버지공장	카페	카페	카페,디저트
282	6	서울앵무새	카페	카페	카페,디저트
312	7	노티드 성수	카페	카페	카페
296	8	어니언 성수	카페	카페	카페,디저트
4	9	성수족발	맛집	한식	족발,보쌈
147	10	호호식당 성수	맛집	일식	일식당
1	11	난포	맛집	한식	한식
307	12	마를리	카페	카페	케이크전문
498	13	마를리	술집	맥주집	케이크전문
356	14	스웨덴피크닉 서울숲	술집	와인바	와인
217	15	성수다락	맛집	양식	스파게티,파스타전문
286	16	멜로워 성수 더 플래그쉽	카페	카페	카페,디저트
49	17	비사벌 전주 콩나물 국밥	맛집	한식	국밥
342	18	노티드 성수피치스	카페	카페	카페
327	19	LOWIDE	카페	카페	카페,디저트
151	20	탐광	맛집	일식	일식당
321	21	센터커피 서울숲점	카페	카페	카페
203	22	백소정 뚝섬역점	맛집	일식	일식당
337	23	에르제 성수	카페	카페	베이커리
300	24	성수베이킹스튜디오	카페	카페	베이커리
209	25	온량	맛집	양식	양식
323	26	성수동대림창고갤러리	카페	카페	카페,디저트
29	27	강남면옥 성수점	맛집	한식	냉면
8	28	쵸리상경	맛집	한식	한식
313	29	소소하게	카페	카페	카페,디저트
23	30	대성갈비	맛집	한식	육류,고기요리
302	31	쎈느Scene	카페	카페	카페,디저트
335	32	도렐 성수점	카페	카페	카페
336	33	하프커피 성수점	카페	카페	카페
239	34	미도인 성수	맛집	양식	양식
144	35	진작다이닝	맛집	일식	퓨전음식
292	36	텅 성수 스페이스	카페	카페	카페,디저트
153	37	오레노카츠 성수본점	맛집	일식	돈가스
146	38	이오로비스트로	맛집	일식	퓨전음식
352	39	슈퍼말차 성수	카페	카페	카페
44	40	몽련	맛집	한식	돼지고기구이
149	41	카린지_린가네 스낵바	맛집	일식	일식당
227	42	봄의정원 성수점	맛집	양식	양식
500	43	미테이블 성수점	술집	맥주집	스파게티,파스타전문
235	44	미테이블 성수점	맛집	양식	스파게티,파스타전문
16	45	잠수교집 성수 직영점	맛집	한식	돼지고기구이
11	46	사위식당 성수점	맛집	한식	곱창,막창,양
207	47	누메로도스	맛집	양식	양식
251	48	미아논나	맛집	양식	샌드위치
283	49	오로라베이커리카페 성수점	카페	카페	베이커리
236	50	엘더버거	맛집	양식	햄버거
248	51	오스테리아 쟌니	맛집	양식	이탈리아음식
22	52	할머니의 레시피	맛집	한식	백반,가정식
314	53	5to7	카페	카페	카페,디저트
276	54	오뜨로 부엔 디아	맛집	양식	이탈리아음식
230	55	소랑호젠	맛집	양식	스파게티,파스타전문
179	56	우동가조쿠 성수점	맛집	일식	우동,소바
254	57	다운타우너 성수 피치스	맛집	양식	햄버거
87	58	일일향 성수10호점	맛집	중식	중식당
253	59	메이플탑	맛집	양식	브런치
298	60	앤드밀 성수점	카페	카페	브런치
224	61	앤드밀 성수점	맛집	양식	브런치
439	62	대림국수 성수점	술집	이자카야	국수
10	63	대림국수 성수점	맛집	한식	국수
243	64	차만다 서울숲점	맛집	양식	양식
12	65	서울로인 서울숲점	맛집	한식	한식
308	66	오우드 성수1호점	카페	카페	카페,디저트
6	67	송계옥 성수점	맛집	한식	닭요리
304	68	카멜커피 성수점	카페	카페	카페,디저트
231	69	문츠 바베큐	맛집	양식	양식
39	70	고집132 성수본점	맛집	한식	육류,고기요리
351	71	아방베이커리 서울숲점	카페	카페	베이커리
9	72	훼미리손칼국수보쌈	맛집	한식	칼국수,만두
160	73	윤경양식당	맛집	일식	돈가스
214	74	bd버거 성수	맛집	양식	햄버거
43	75	권식족발 성수본점	맛집	한식	족발,보쌈
445	76	어메이징브루잉컴퍼니	술집	맥주집	맥주,호프
172	77	멘야코노하 성수	맛집	일식	일본식라면
84	78	메이탄 성수점	맛집	중식	중식당
325	79	루프 베이커리 카페	카페	카페	카페
232	80	파르코	맛집	양식	이탈리아음식
499	81	파머스카페	술집	맥주집	카페,디저트
