,id,naverkeyword
0,0,혼밥하기좋아요
1,0,매장이넓어요
2,0,재료가신선해요
3,0,음식이맛있어요
4,0,양이많아요
5,0,가성비가좋아요
6,0,친절해요
7,0,매장이넓어요
8,1,인테리어가멋져요
9,1,특별한날가기좋아요
10,1,재료가신선해요
11,1,음식이맛있어요
12,1,친절해요
13,1,매장이청결해요
14,1,특별한메뉴가있어요
15,1,특별한메뉴가있어요
16,2,혼밥하기좋아요
17,2,인테리어가멋져요
18,2,재료가신선해요
19,2,음식이맛있어요
20,2,가성비가좋아요
21,2,친절해요
22,2,특별한메뉴가있어요
23,2,특별한메뉴가있어요
24,3,인테리어가멋져요
25,3,재료가신선해요
26,3,음식이맛있어요
27,3,양이많아요
28,3,친절해요
29,3,매장이청결해요
30,3,특별한메뉴가있어요
31,3,특별한메뉴가있어요
32,4,재료가신선해요
33,4,음식이맛있어요
34,4,양이많아요
35,4,가성비가좋아요
36,4,친절해요
37,4,매장이청결해요
38,4,특별한메뉴가있어요
39,4,특별한메뉴가있어요
40,5,인테리어가멋져요
41,5,재료가신선해요
42,5,음식이맛있어요
43,5,양이많아요
44,5,친절해요
45,5,매장이청결해요
46,5,특별한메뉴가있어요
47,5,특별한메뉴가있어요
48,6,인테리어가멋져요
49,6,매장이넓어요
50,6,재료가신선해요
51,6,음식이맛있어요
52,6,친절해요
53,6,매장이넓어요
54,6,매장이청결해요
55,6,특별한메뉴가있어요
56,6,특별한메뉴가있어요
57,7,특별한날가기좋아요
58,7,재료가신선해요
59,7,음식이맛있어요
60,7,양이많아요
61,7,친절해요
62,7,매장이청결해요
63,7,특별한메뉴가있어요
64,7,특별한메뉴가있어요
65,8,특별한날가기좋아요
66,8,재료가신선해요
67,8,음식이맛있어요
68,8,양이많아요
69,8,친절해요
70,8,매장이청결해요
71,8,특별한메뉴가있어요
72,8,특별한메뉴가있어요
73,9,혼밥하기좋아요
74,9,매장이넓어요
75,9,재료가신선해요
76,9,음식이맛있어요
77,9,양이많아요
78,9,가성비가좋아요
79,9,친절해요
80,9,매장이넓어요
81,10,인테리어가멋져요
82,10,재료가신선해요
83,10,음식이맛있어요
84,10,가성비가좋아요
85,10,친절해요
86,10,매장이청결해요
87,10,특별한메뉴가있어요
88,10,특별한메뉴가있어요
89,11,매장이넓어요
90,11,재료가신선해요
91,11,음식이맛있어요
92,11,양이많아요
93,11,가성비가좋아요
94,11,친절해요
95,11,매장이넓어요
96,11,매장이청결해요
97,12,특별한날가기좋아요
98,12,매장이넓어요
99,12,재료가신선해요
100,12,음식이맛있어요
101,12,친절해요
102,12,매장이넓어요
103,12,매장이청결해요
104,12,특별한메뉴가있어요
105,12,특별한메뉴가있어요
106,13,매장이넓어요
107,13,재료가신선해요
108,13,음식이맛있어요
109,13,양이많아요
110,13,친절해요
111,13,매장이넓어요
112,13,매장이청결해요
113,13,특별한메뉴가있어요
114,13,특별한메뉴가있어요
115,14,혼밥하기좋아요
116,14,재료가신선해요
117,14,음식이맛있어요
118,14,양이많아요
119,14,친절해요
120,14,매장이청결해요
121,14,특별한메뉴가있어요
122,14,특별한메뉴가있어요
123,15,단체모임하기좋아요
124,15,재료가신선해요
125,15,음식이맛있어요
126,15,양이많아요
127,15,가성비가좋아요
128,15,친절해요
129,15,특별한메뉴가있어요
130,15,특별한메뉴가있어요
131,16,인테리어가멋져요
132,16,재료가신선해요
133,16,음식이맛있어요
134,16,양이많아요
135,16,가성비가좋아요
136,16,친절해요
137,16,특별한메뉴가있어요
138,16,특별한메뉴가있어요
139,17,인테리어가멋져요
140,17,특별한날가기좋아요
141,17,재료가신선해요
142,17,음식이맛있어요
143,17,친절해요
144,17,매장이청결해요
145,17,특별한메뉴가있어요
146,17,특별한메뉴가있어요
147,18,인테리어가멋져요
148,18,매장이넓어요
149,18,재료가신선해요
150,18,음식이맛있어요
151,18,친절해요
152,18,매장이넓어요
153,18,매장이청결해요
154,18,특별한메뉴가있어요
155,18,특별한메뉴가있어요
156,19,인테리어가멋져요
157,19,재료가신선해요
158,19,음식이맛있어요
159,19,친절해요
160,19,화장실이깨끗해요
161,19,매장이청결해요
162,19,특별한메뉴가있어요
163,19,특별한메뉴가있어요
164,20,인테리어가멋져요
165,20,특별한날가기좋아요
166,20,재료가신선해요
167,20,음식이맛있어요
168,20,친절해요
169,20,매장이청결해요
170,20,특별한메뉴가있어요
171,20,특별한메뉴가있어요
172,21,인테리어가멋져요
173,21,매장이넓어요
174,21,단체모임하기좋아요
175,21,음식이맛있어요
176,21,친절해요
177,21,매장이넓어요
178,21,매장이청결해요
179,21,특별한메뉴가있어요
180,21,특별한메뉴가있어요
181,22,인테리어가멋져요
182,22,재료가신선해요
183,22,음식이맛있어요
184,22,반찬이잘나와요
185,22,가성비가좋아요
186,22,친절해요
187,22,매장이청결해요
188,23,단체모임하기좋아요
189,23,재료가신선해요
190,23,음식이맛있어요
191,23,양이많아요
192,23,가성비가좋아요
193,23,친절해요
194,23,특별한메뉴가있어요
195,23,특별한메뉴가있어요
196,24,인테리어가멋져요
197,24,고기질이좋아요
198,24,재료가신선해요
199,24,음식이맛있어요
200,24,친절해요
201,24,매장이청결해요
202,24,특별한메뉴가있어요
203,24,특별한메뉴가있어요
204,25,인테리어가멋져요
205,25,재료가신선해요
206,25,음식이맛있어요
207,25,양이많아요
208,25,친절해요
